"ID","Nom","Type","Deplacement","TypeDeplacement","PointsArmee","TauxProduction","TypeProduction","Evolution","ConditionPour","Nation","Pic","CargMat","CargMil","CargCiv","Detection","Discretion","Camouflage","Domaines","DomainesAttaq","Portee","Precision","Esquive","Couverture","PuissanceOff","PuissanceDef","Armure","Resistance","Rapidite","Moral","Loyaute","TauxProductionSec","TypeProductionSec","CargMV","ArretMarchand","AjustType","AjustTaux","CoutDricks","CoutUnitType","CoutUnitQ","CoutResType1","CoutResQ1","CoutResType2","CoutResQ2","CoutResType3","CoutResQ3","UnitProduite","Flag","Natures","NaturesAttaq","MaxPetitesCibles","Robustesse","ServantType","ServantMin","Attitude","NombrePourRencontres","TirEmbarque","RessourcesProduites1","RessourcesProduites2","UniteRequise","ProductionTypeUnite","ProductionNbrUnite","TempsDeConstruction","EnConstruction","RessourcesRecoltees","TauxRecolte","UniteRequise2","UniteRequise3","AjustRecolteUnite","AjustRecolteTaux","Medecine","CompetenceSpeciale","CompetenceTaux","ChefDeChantier","Terraform","SousType","DemantelerPour","Help","Disette","SousTypeCreatures","Sanitaire","Population","TechnoProhib","ProductionMaxUnite","EquivalentPaysan","AAbattre","ACouvrir","PonteAleatoire","EffetArmures","DegatsMorts","Imparable","TechnoAssoc","LogTypeProhib","UnitExistReq","NomVisible","RencontreAvec","NoteDeConstruction","PonteClassique","Irrigation","PersonnelMinimum","RealPOP","AEpargner","Producteur","LairType","EntretienRes","EntretienQuant","Formation","UniteRequise4","CoutResType4","CoutResQ4","EntretienMaj","PicNV","Endurance","Regime","PicType"
"1444","Gobelins fanatiques","Soldat","4","MCFanLeger","18","","Pacte_Chaos","","","","fanatic.jpg","0","0","","75","45","25","Terrestre","Terrestre","2","30","35","0","8","5","5","6","4","2","35","","","","","","","","Paysan","1","Acier","5","Drogues","2","Cadavres frais","6","30","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","no","","","Autel sacrificiel","","","1","20160325123002","","","","","","","","Confusion","1","","","","","","","PVGob","","","","","","","","","Moitier","","vision_yes","","OR","03_Grotte gobeline","","","","","","","1","2","2","","","","","","Moral","12","","","40","Charognard",""
"1445","Gobelins fanatiques (v)","Soldat","5","MCFanLeger","31","","Pacte_Chaos","","","","fanatic.jpg","0","0","","75","45","25","Terrestre","Terrestre","2","35","40","0","8","5","5","6","6","2","35","","","","","","","","Gobelins fanatiques","12","Encens","1","Pierres de vie","3","","","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Gouffre à gobelins","","","1","20160325123002","","","","","","","","Confusion","2","","","","","","","PVGob","","","","","","","","","Moitier","","vision_yes","","OR","01_Autel sacrificiel","","","","","","","1","3","3","","","","","","","","","","50","Charognard",""
"1446","Tanière à Waarg","Batiment_Militaire","0","","28","","Dress","","","","repaire1.jpg","0","0","","65","50","20","Terrestre","","","0","-25","0","0","0","60","300","0","0","100","","","","","_Couv4_Disc1_","20","12","Tanière","1","Pierre","30","Cadavres frais","6","Viande","12","1","Bld Spy","Mecanique","","","","","","Inoffensif","","no","","","Waarg (v)","Waarg","1","14","20160629142932","","","","","","","","","","","","Camp","","","","PVOrcGob","-10","","","yes","","","","","","","","","OR","01_Dresseur","","","","","","","60","74","74","","Viande","1","","","Vegetaux","12","8","","100","Charognard",""
"1447","Chiards gobs","Soldat","4","MCEclaireurs","1","","Esclav","","","","gobebe.jpg","0","0","","50","20","10","Terrestre","Terrestre","1","20","30","10","3","3","10","4","7","0","50","","","","","","","","Manants","1","Metal","1","Cuir","1","Moral","3","9","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Chasse_Faibles","","","","","Grotte gobeline","","","0","20160529131116","","","Maison de patrouilleur","","","","","Aggression","6","","","","Viande","","","PVGob","","","","","","Conscrits","","","Double","Tiers","vision","","OR","","","","","","","","1","0","1","","","","","","","","","","25","Charognard",""
"1448","Chiards gobs (v)","Soldat","4","MCEclaireurs","2","","Esclav","","","","gobebe.jpg","0","0","","65","65","10","Terrestre","Terrestre","1","25","35","15","3","3","10","4","8","1","50","","","","","","","1","Chiards gobs","24","Spiritueux","1","Viande","3","","","18","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Chasse_Faibles","","","","","Gouffre à gobelins","","","1","20160529131116","","","Patrouilleur (v)","","","","","Aggression","3","","","","Viande","","","PVGob","","","","","","Conscrits","","","Double","Tiers","vision","","OR","","","","","","","","1","1","1","","","","","","","","","","35","Charognard",""
"1449","Pâtre gob","Civil","4","MCEclaireurs","6","","Dress_Esclav","","","","herders.jpg","0","0","","75","55","0","Terrestre","Terrestre","2","25","35","0","3","4","0","5","5","1","45","","","","","","","","Gueux","1","Acier","1","Viande","12","Tissu","1","1","Pce","Vivant","Vivant_Monstre_Mort_Mecanique","","","","","Chasse_Faibles","6","","","","Tanière","Squig","x2","7","20160325123002","_Cadavres frais_","2","Tribune","","","","1","","","yes","","","Viande","","","PVGob","","Citoyen","","yes","","","yes","","Inverse","Moitier","","","OR","01_Chamane gobelin","","","","","","","8","19","19","","Cadavres frais","1","","","Pierres de vie","1","2","","20","Omnivore",""
"1450","Squig","Soldat","4","MCTrav","5","","Dress","","","","squigs.jpg","0","0","","60","0","25","Terrestre","Terrestre_Volant","1","15","35","0","5","3","25","8","10","1","45","","","","","","","","Plantation","1","Gibier","9","Cadavres frais","3","Charbon","3","18","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Batiment","1","","","","Attaque","","no","","","Pâtre gob","","","5","20160609162342","","","","","","","","Insubordination","4","","","","","","","XXX_PVGob_Creature","","","","","","","","","Moitier","Moitier","demolition","","OR","03_Pâtre gob","","","","","","","2","1","1","","","","","","","","","","85","Carnivore",""
"1451","Cavalerie Squig","Soldat","4","MCTrav","14","","Att_Dress","","","","hopper.jpg","0","0","","75","15","25","Terrestre","Terrestre_Volant","1","27","35","0","6","4","25","11","10","2","45","","","","","","","2","Squig","9","Drogues","1","Cuir","2","Viande","3","9","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","2","","","","Attaque","10","no","","","Komando Gobelin","","","3","20160609162419","","","Pâtre gob","","","","","Berserk","3","","","","","","","PVGob_Cavalier","","","","","","","","","Moitier","Moitier","demolition","","OR","01_Gouffre à gobelins","","Infanterie gobline","","","","","2","1","1","","","","","","","","","","85","Carnivore",""
"1452","Cavalerie Squig (v)","Soldat","5","MCTrav","24","","Att_Dress","","","","hopper.jpg","0","0","","75","15","25","Terrestre","Terrestre_Volant","1","35","42","0","6","4","30","13","10","2","45","","","","","","","","","","","","","","","","9","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","2","","","","Attaque","10","no","","","Experience","","","3","20160609161615","","","","","","","","Berserk","3","","","","","","","PVGob_Cavalier","","","","","","","","","Moitier","Moitier","demolition","","OR","","","Infanterie gobline","","","","","2","","","","","","","","","","","","90","Carnivore",""
"1453","Terrassement","Batiment","0","","0","","Construct","","","","","0","0","","0","0","-25","Terrestre","","","0","-25","0","0","0","0","2000","0","0","100","","","","","","","3","Travaux","1","Pierre","30","Chevrons de construction","3","","","1","Bld","Mecanique","","","","","","Inoffensif","","no","","","Route (plaines)","","","0","20160629142932","","","Route (collines ou forêt)","Maître-bâtisseur","","","","","","","Emplacement","Amenagements","Impossible","Le terrassement rajoute un emplacement sur le territoire.","","","","","","","","","","","","","","_Capitaine_Mercenaire_Milicien_Marchand_Espion_Eclaireur_Saltimbanque_Brigand","","","","","","","","","0","30","30","","","","","Place publique","","","","","100","Omnivore",""
"1454","Garde-tombe","Soldat","4","MCFanLourd","84","","Necro","","","","gardetombe.jpg","0","0","","110","35","20","Terrestre","Terrestre","2","45","55","8","6","9","45","25","7","2","100","","","","","","","12","Carcasses","6","Acier","3","Pierres de vie","3","Encens","1","6","Mil","Mort","Vivant_Monstre_Mort_Mecanique_Magique","2","30","","","Attaque","9","yes","","","Catacombes","","","8","20160313122833","","","Tour sombre","","","","","Confusion","1","","","Necromancie","","","","","-1","","Bardes","","","Momies","","","Moitier","Moitier","lune","","","01_Arsenal","","Squelettes","","necropole","","","0","9","9","","","","","","Cuir","1","","","100","Charognard",""
"1455","Garde-tombe (v)","Soldat","4","MCFanLourd","124","","Necro","","","","gardetombe.jpg","0","0","","110","35","20","Terrestre","Terrestre","2","45","55","8","7","10","45","30","7","10","100","","","","","","","","","","","","","","","","6","Mil","Mort","Vivant_Monstre_Mort_Mecanique_Magique","2","40","","","Attaque","6","yes","","","Experience","","","8","20160313124856","","","","","","","","Confusion","1","","","Necromancie","","","","","-1","","Bardes","","","Momies","","","Moitier","Moitier","lune","","","","","","","hall","","","0","","","","","","","","","","","","100","Charognard",""
"1456","Agitateur (v)","Civil","0","","1","-6","Chaos","","","","","0","0","_Brigand","30","666","20","Terrestre","Terrestre","1","25","35","10","3","3","0","8","6","0","20","","","_Espion","","","","2","Agitateur","1","Papier","1","","","","","1","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Defense","6","yes","Moral","","Agitateur","","","0","20160224012642","","","","","","","","","","","","","","Les agitateurs sont destinés à provoquer des révoltes sur le territoire où ils se trouvent. Leur présence en grand nombre peut provoquer de véritables catastrophes.","","Hors-la-loi_HLL","-3","","","","","","","","Double","Moitier","","","","","","","","","","","3","3","3","","","","","","","","","","25","Omnivore",""
"1457","Douanier","Civil_Guardien","5","MCFanLeger","10","-1","Plouto","","","","douanier.jpg","0","0","","115","25","0","Terrestre","Terrestre","1","35","30","6","4","5","20","14","6","3","65","","","","","","","5","Manants","1","Papier","1","Acier","1","Pain","1","1","Mil","Vivant","Vivant_Monstre_Mort_Revolte","1","","Milicien","","Attaque","","","Moral","","Poste de milice","","","5","20160606175053","","","","","","","","Vol","0","","","","","Lorsque vous avez un douanier sur le même territoire qu&apos;un barrage, les joueurs avec lesquels vous êtes en diplomatie &quot;paix&quot; peuvent passer à condition de payer 2 dricks.&#xD;&#xA;Le laisser-passer est valable 1 mois pour toutes les unités de ce joueur.&#xD;&#xA;1 drick vous revient, l&apos;autre est soit pour le propriétaire du territoire, soit pour votre Duc.","","Guard","","","","","","","yes","","","Moitier","","_Brigand","","01_Sergent de milice","","","","","","","4","12","12","","","","Poste de milice","","Moral","2","","","50","Omnivore",""
"1458","Javelinier monté","Soldat","11","MCCheval","32","","Att_Chasse","","","","barb25.jpg","0","0","","65","20","0","Terrestre","Terrestre_Volant","2","50","45","5","6","5","20","19","9","1","50","","","","","","","1","Cavalerie légère","12","Acier","3","Bois","3","Runes de givre","1","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","18","no","","","Archer monté (v)","","","8","20160614134612","_Gibier_","1","Berserkers","","","","","Pillage","","","","","","","","Barbare_Cavalier","","","","","","Soldats","","","","Moitier","","","BA","01_Manège","","","","bconseil","","","6","5","5","","","","","","Vegetaux","12","","","50","Mixte",""
"1459","Javelinier monté (v)","Soldat","11","MCCheval","47","","Att_Chasse","","","","barb25.jpg","0","0","","65","20","0","Terrestre","Terrestre_Volant","2","55","50","10","6","5","20","23","11","1","50","","","","","","","","Javelinier monté","12","Cuir vivant","1","","","","","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","12","no","","","Nomades","","","4","20160614134612","_Gibier_","1","","","","","","Pillage","","","","","","","","Barbare_Cavalier","","","","","","Soldats","","","","Moitier","","","BA","","","","","","","","6","7","7","","","","","","","","","","65","Mixte",""
"1460","Janga","Soldat","6","MCFanLourd","66","","Att","","","","mahoudglobal.jpg","0","0","","75","25","10","Terrestre","Terrestre","1","45","45","6","8","8","35","20","6","5","75","","","","","","","3","Erekwi","12","Acier","4","Bois","3","Acier de Grim","1","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Batiment","1","","","","Attaque","18","yes","","","Conseil des clans","","","7","20160301120231","","","","","","","","","","","","","","","","Mahoud","","","","","","","","","","","yes","","BA","01_Arsenal","","","","mconseil","","","2","6","6","","","","","","","","","","65","Omnivore",""
"1461","Janga (v)","Soldat","6","MCFanLourd","84","","Att","","","","mahoudglobal.jpg","0","0","","75","25","10","Terrestre","Terrestre","1","50","50","6","8","8","35","22","8","5","75","","","","","","","","","","","","","","","","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Batiment","1","","","","Attaque","12","yes","","","Experience","","","7","20160301115225","","","","","","","","","","","","","","","","Mahoud","","","","","","","","","","","yes","","BA","","","","","","","","2","8","8","","","","","","","","","","75","Omnivore",""
"1462","Sapeur (gueux)","Soldat","5","MCFanLeger","6","","Construct","","","","sapeur.JPG","0","0","","65","60","15","Terrestre","Terrestre_Marin","1","25","25","8","8","4","15","13","7","1","50","","","","","","","3","Gueux","1","Metal","1","Bois","1","Charbon","1","3","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Batiment","2","","","","Chasse_Faibles","18","","","","Sapeur","","","5","20160301133454","","","","","","","","Sabotage","7","","","Amenagements","","","","UGenie","","","","","40","","","","Double","Double","","","BS_PR_BA","01_Ingénieur","","","","","","","2","2","2","","","","","","Moral","1","","","40","Omnivore",""
"1463","Artilleur (manants)","Soldat","4","MCFanLeger","6","","Techno","","","","artilleur.jpg","0","0","","65","20","0","Terrestre","Terrestre_Marin","1","25","40","10","3","4","25","16","3","1","45","","","","","","","1","Manants","1","Metal","2","Cuir","2","Nourriture","3","3","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Arsenal","","","5","20160301133454","","","Capitaine Mercenaire (v)","","","","","","","","","","","L&apos;artilleur est l&apos;élément indispensable au fonctionnement des engins de siège.","","UGenie","","","","","226","","yes","","","Moitier","","","","","","","","","","","2","2","2","","","","","","Moral","1","","","45","Omnivore",""
"1464","Ixwa (brigade)","Soldat","5","MCEclaireurs","6","","Populo_Chasse","","","","original.jpg","0","0","","70","30","15","Terrestre","Terrestre_Volant","2","30","25","15","4","4","10","14","5","1","35","","","","","","","","Manants","15","Metal","30","Bois","30","Cuir","15","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Village Mahoud","","","1","20160319173346","","","Village Mumack","Arsenal","","","","","","","","","","","","Mahoud","","","","","1230","","","","Double","Moitier","","","BA","01_Campement Mahoud","","","","","","","2","1","1","","","","","","Moral","90","","","30","Omnivore",""
"1465","Mahouds (brigade)","Soldat","5","MCEclaireurs","6","","Chasse","","","","mahoud.jpg","0","0","","75","40","25","Terrestre","Terrestre_Marin","2","35","27","25","5","4","5","11","6","1","45","","","","","","","10","Manants","15","Metal","20","Cuir","10","Gibier","45","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","25","","","","Campement Mahoud","","","2","20160614134612","_Gibier_Fruits_","1","Village Mahoud","Casbah","","","","Pillage","","","","","","","","Mahoud","","","","","1019","","","","Double","Moitier","","","BA","","","Mahouds (v)","","","","","3","1","1","","","","","Ziggurat","Moral","45","","","40","Omnivore",""
"1466","Donga (brigade)","Soldat","6","MCFanLeger","6","","Chasse","","","","donga.jpg","0","0","","65","25","0","Terrestre","Terrestre_Marin","1","32","35","12","6","3","5","15","6","2","45","","","","","","","10","Gueux","15","Grain","60","Pierre","30","Epices","5","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","36","","","","Marabout","","","2","20160614134612","_Cereales_Fruits_Vegetaux_","1","","","","","","Pillage","","","","","","","","Mahoud","","","","","1145","","","","Double","Moitier","","","BA","01_Elevage","","Donga (v)","","","","","3","1","1","","","","","","Moral","45","","","50","Omnivore",""
"1467","Ruxs (brigade)","Soldat","6","MCFanLeger","6","","Chaos","","","","norse.jpg","0","0","","75","40","15","Terrestre","Terrestre_Marin","1","27","20","10","6","4","15","14","6","1","45","","","","","","","","Gueux","15","Metal","45","Cuir","10","Perles","5","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","25","","","","Drakkar","","","3","20160614134612","_Poissons_","1","","","","","","Pillage","","","","","","","","Barbare_Marin","","","","","1166","","","","Double","Moitier","","","BA","01_Camp barbare","","Ruxs (v)","","","","","3","1","2","","","","","","Moral","45","","","40","Omnivore",""
"1468","Barbares (brigade)","Soldat","6","MCEclaireurs","6","","Chasse","","","","bb2.jpg","0","0","","75","35","25","Terrestre","Terrestre_Marin","1","30","15","20","6","5","15","11","6","1","45","","","","","","","10","Manants","15","Metal","20","Cuir","10","Gibier","45","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","25","","","","Camp barbare","","","2","20160614134612","_Fruits_Gibier_Poissons_","1","Village nomade","Village Barbare","","","","Pillage","","","","","","","","Barbare","","","","","247","","","","Double","Moitier","","","BA","","","Barbares (v)","","","","","3","1","1","","","","","Cromlech","Moral","45","","","40","Omnivore",""
"1469","Novices (brigade)","Soldat","5","MCEclaireurs","3","","Populo_Chasse","","","","barbgeux.jpg","0","0","","70","35","15","Terrestre","Terrestre","1","25","15","20","4","5","5","11","5","1","35","","","","","","","","Manants","15","Metal","30","Bois","15","Pain","15","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Village Barbare","","","1","20160614134612","","","Village nomade","Arsenal","","","","Pillage","","","","","","","","Barbare","","","","","1228","","","","Double","Moitier","","","BA","01_Camp barbare","","","","","","","2","1","1","","","","","","Moral","90","","","30","Omnivore",""
"1470","Conscrits (brigade)","Soldat","5","MCFanLeger","5","","Populo","","","","consc.jpg","0","0","","65","25","0","Terrestre","Terrestre","1","25","25","6","4","5","15","13","6","0","40","","","","","","","7","Manants","15","Metal","15","Cuir","7","Pain","15","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Castel","","","1","20160224005617","","","Caserne","Arsenal","","","","","","","","","","","","Soldat_Defense","","","","","790","","","","Double","Moitier","","","BS","","","","","","","","2","1","1","","","","","","Moral","90","","","25","Omnivore",""
"1471","Peltastes (brigade)","Soldat","6","MCFanLeger","6","","Populo","","","","peltaste.jpg","0","0","","65","25","0","Terrestre","Terrestre_Volant","2","30","30","6","4","4","5","12","5","0","40","","","","","","","10","Manants","15","Metal","15","Bois","15","Pain","20","75","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Médina","","","1","20160224005617","","","Caserne","Arsenal","","","","","","","","","","","","Soldat_Attaque_Soldat_Defense","","","","","1094","","","","Double","Moitier","","","PR","","","","","","","","2","1","1","","","","","","Moral","75","","","30","Omnivore",""
"1472","Chiards gobs (brigade)","Soldat","4","MCEclaireurs","1","","Esclav","","","","gobebe.jpg","0","0","","50","20","10","Terrestre","Terrestre","1","20","30","10","3","3","10","4","6","0","50","","","","","","","","Manants","10","Metal","10","Cuir","10","Moral","30","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Chasse_Faibles","","","","","Grotte gobeline","","","0","20160529131116","","","","","","","","Aggression","6","","","","Viande","","","PVGob","","","","","1447","","","","Double","Tiers","vision","","OR","","","","","","","","1","1","1","","","","","","","","","","25","Charognard",""
"1473","Sans croc (brigade)","Soldat","5","MCFanLeger","3","","Def","","","","sanscroc.jpg","0","0","","50","40","20","Terrestre","Terrestre","1","27","35","10","4","5","0","10","4","0","35","","","","","","","5","Manants","15","Metal","20","Cuir","5","Viande","15","60","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","18","","","","Matrone Orc","","","1","20160529131116","","","Boss orc","","","","","Insubordination","2","","","","","","","PVOrc","","","","","920","","","","Double","Tiers","vision","","OR","","","Guerriers Orcs (v)","","","","","2","1","1","","","","","","Moral","60","","","35","Charognard",""
"1474","Zombies (brigade)","Soldat","5","MCFanLourd","1","","Necro","","","","hordezombie.jpg","0","0","","65","35","10","Terrestre","Terrestre","1","20","10","0","3","3","0","7","3","2","100","","","","","","","5","Manants","15","Pierres de vie","5","Cadavres frais","30","Moral","15","180","Mil","Mort","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","36","no","","","Crypte","","","1","20160313122833","","","","","","","","Berserk","3","","","Necromancie","","","","","-1","","Bardes","","1209","","","","Double","Moitier","vision","","","","","","","","","","2","1","1","","","","","","","","","","100","Charognard",""
"1475","Guerriers squelettes (brigade)","Soldat","5","MCFanLeger","2","","Necro","","","","squegueux.jpg","0","0","","65","35","10","Terrestre","Terrestre_Marin","1","20","15","0","4","4","15","6","5","2","100","","","","","","","7","Gueux","15","Pierres de vie","7","Cadavres frais","23","Metal","23","180","Mil","Mort","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","36","yes","","","Sépulcre","","","2","20160313122833","","","","","","","","Aggression","3","","","Necromancie","","","","","-1","","Bardes","","1323","","","","Double","Moitier","vision","","","","","Carcasses","","","","","2","1","1","","","","","","Moral","15","","","100","Charognard",""
"1476","Bagnards (brigade)","Soldat","5","MCFanLeger","3","","Despo_Esclav","","","","matricule.jpg","0","0","","65","25","0","Terrestre","Terrestre","1","25","20","6","5","4","5","12","5","0","15","","","","","","","15","Prisonniers","15","Metal","30","Pain","15","Moral","45","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Camp de travail","","","1","20160224014351","","","Prisons","Bagne","","","","Aggression","4","","","Esclavage","Bagauds","","","Soldat_Attaque","","","","","1004","","","","Double","Moitier","","_Saltimbanque","","","","","","","","","4","1","1","","","","","Poste de milice","","","","","50","Omnivore",""
"1477","Frondeurs (brigade)","Soldat","5","MCEclaireurs","6","","Populo_Chasse","","","","","0","0","","65","40","15","Terrestre","Terrestre_Volant","3","32","25","8","4","4","10","12","4","0","35","","","","","","","7","Gueux","15","Pierre","22","Cuir","7","Pain","30","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Maison de patrouilleur","","","2","20160614134612","","","Archer (v)","Mahoud Mercenaire","","","","Pillage","","","","","","","","Archer_EGenie","","","","yes","868","","","","Double","Tiers","","","","","","","","","","","2","1","1","","","","","Hors la loi (v)","Moral","45","","","25","Omnivore",""
"1478","Fidèles","Soldat","5","MCFanLeger","6","","Theo","","","","fidz.jpg","0","0","","65","25","0","Terrestre","Terrestre","1","27","30","6","4","6","5","15","6","2","60","","","","","","","","Manants","2","Metal","2","Bois","2","Encens","1","8","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Monastère","","","3","20160320151753","","","Château des templiers","Moutier carnal","","","","","","","","Religion","","","","Soldat_Defense","","","","","","","","","Double","Moitier","","","BS_PR_BA","18_Dévot","","","","","","","2","1","1","","","","","","Moral","7","","","30","Omnivore",""
"1479","Fidèles (v)","Soldat","5","MCFanLeger","13","","Theo","","","","fidzv.jpg","0","0","","65","25","0","Terrestre","Terrestre","1","32","35","6","4","6","15","17","8","2","60","","","","","","","","","","","","","","","","8","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","36","","","","Experience","","","3","20160320152121","","","","","","","","","","","","Religion","","","","Soldat_Defense","","","","","","","","","","Moitier","","","BS_PR_BA","","","","","sanctuaire","","","2","2","2","","","","","","","","","","45","Omnivore",""
"1480","Apprenti sorcier","Civil","5","MCFanLeger","13","","Magie","","","","newapsorc.jpg","0","0","","70","25","0","Terrestre","Terrestre_Marin_Volant","3","15","35","8","4","8","5","11","5","0","45","","","","","","","4","Manants","2","Papier","2","Pierres de vie","6","Gemmes","1","6","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Magique","2","","","","Chasse_Faibles","12","","","","Ecole de magie","","","8","20160406071538","","","Familier","","","","","","","","","Magie","","","","Tisseur","","","","","","","","yes","Moitier","Moitier","yes","","BS_BA_OR_NA_PR_XX","","Tisseur","","","","","","2","5","5","","","","Ecole de magie","","Moral","6","","","30","Omnivore",""
"1481","Apprenti sorcier (v)","Civil","5","MCFanLeger","13","","Magie","","","","newapsorc.jpg","0","0","","70","25","0","Terrestre","Terrestre_Marin_Volant","3","15","35","8","4","8","5","11","5","0","45","","","","","","","","","","","","","","","","6","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Magique","2","","","","Chasse_Faibles","12","","","","Experience","","","8","20160529131116","","","","","","","","","","","","Magie","","","","Tisseur","","","","","","","","yes","Moitier","Moitier","yes","","BS_BA_OR_NA_PR_XX","","Tisseur","","","","","","2","6","6","","","","","","","","","","30","Omnivore",""
"1482","Tisseur (apprenti)","Civil","5","MCFanLeger","71","","Magie","","","","Tisseur.jpg","0","0","","80","35","0","Terrestre","Terrestre_Marin_Volant","4","45","60","8","6","10","15","13","7","1","65","","","","","","","6","Apprenti sorcier (v)","5","Papier","1","Pierres de vie","6","Perles","1","3","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Magique","2","","","","Attaque","5","","","","Académie du dogme","","","7","20160529131634","","","","","","","","Quotas","PDV30","","","Magie","","","","Tisseur","","","","","28","","yes","yes","Ignore","Moitier","yes","","","","","","","","","","6","15","17","","","","","","Drogues","1","","","65","Omnivore",""
"1483","Matagot","Creature_Sauvage","8","MCEclaireurs","405","","Dress","","","","hatcat.jpg","0","0","","130","80","50","Terrestre","Terrestre_Volant","1","75","50","20","20","15","20","60","12","2","90","","","","","","","15","Dresseur","1","Viande","15","Cadavres frais","5","Poupee de Ramauk","2","1","Spy","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","3","","","","Chasse_Faibles","4","","","","Hatchepsout","","","28","20160529131116","","","","","","","","","","","","Magie","Impossible","","","XXX_Creature","","Unique","","","","","","","Moitier","Moitier","vision","","","01_Hatchepsout","","","","","","","4","70","70","","","","","","Drogues","2","","","90","Charognard",""
"1484","Brigands (brigade)","Soldat","4","MCEclaireurs","3","","Chaos_Plouto","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Mercenaire_Capitaine","","","brigand7.jpg","0","0","","65","60","25","Terrestre","Terrestre","1","20","30","10","4","4","10","10","7","0","25","","","","","","","15","Vagabond","15","Metal","15","Bois","15","","","90","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Revolte","1","","Brigand","","Chasse_Faibles","36","","","","Chef de bande","Brigands","9","2","20160614134612","","","Planque","Bastion de Brigands","","","","Pillage","","","","","","Les brigands sont des petites frappes qui n&apos;osent jamais attaquer s&apos;ils sont en sous nombre ou si ils ne sont pas accompagnés par d&apos;autres combattants.","","Hors-la-loi_HLL","","","","","236","","","","Double","Tiers","","","","","Gueux","Brigands (v)","","","","Brigands","2","1","1","","","","","Hors la loi","","","","","30","Omnivore",""
"1485","Gabare (e)","Navire","9","MCBatCab","0","","Navig","","","","Gabare.jpg","200","360","","55","25","0","Terrestre_Marin","","","0","25","0","0","0","25","80","6","0","50","","","_Capitaine","","_Couv1_","4","","","","","","","","","","1","Boa","Mecanique","","","","","","Inoffensif","1","","","","Experience","","","14","20160529131116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","45","","","Tissu","1","","","","","","","22","Omnivore",""
"1486","Catamaran (e)","Navire","12","MCBatMix","0","","Chasse_Navig","","","","Catamaran.jpg","20","108","_Capitaine","55","75","10","Terrestre_Marin","","","0","40","0","0","0","20","48","12","0","40","","","","","_Disc1_","24","","","","","","","","","","1","Boa Spy","Mecanique","","","","","","Inoffensif","","no","","","Experience","","","7","20160529131116","","","","","","","","","","","","","","","","Barbare_Mahoud","","","","","","","","","","","","","","","","","","","","","10","27","36","","","","","","","","","","20","Omnivore",""
